DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO POBLADO,LATITUD,LONGITUD,VIVIENDAS,POBLACIÓN
ICA,PALPA,RIO GRANDE,LAS MERCEDES,-14.509072,-75.197498,1,2
ICA,ICA,SAN JOSE DE LOS MOLINOS,EL CARMEN,-13.920403,-75.67297,1,1
ICA,ICA,SANTIAGO,LOS ORE,-14.193853,-75.673188,1,1
ICA,PALPA,PALPA,GRANDE,-14.543387,-75.174692,1,1
ICA,PALPA,TIBILLO,RETIRO,-14.088567,-75.177485,1,1
ICA,PALPA,TIBILLO,CAHUATO,-14.099958,-75.17252,1,1
ICA,ICA,PACHACUTEC,LA GUARDA,-14.14375,-75.660102,0,0
ICA,ICA,PACHACUTEC,PAMPA DE LOS CASTILLOS,-14.248233,-75.645173,0,0
ICA,ICA,SANTIAGO,LOS TRECIENTOS,-14.230178,-75.66165,0,0
JUNIN,TARMA,TARMA,TARMA,-11.419979,-75.688024,9652,39456
JUNIN,HUANCAYO,HUANCAN,HUANCAN,-12.106548,-75.21676,5667,23659
JUNIN,HUANCAYO,SAN JERONIMO DE TUNAN,SAN JERONIMO DE TUNAN,-11.949136,-75.282105,2695,11601
JUNIN,TARMA,HUASAHUASI,HUASAHUASI,-11.265084,-75.65018,1232,4071
JUNIN,CHUPACA,AHUAC,AHUAC,-12.085966,-75.321178,995,3507
JUNIN,TARMA,ACOBAMBA,ACOBAMBA,-11.353316,-75.659174,751,3120
JUNIN,TARMA,PALCA,PALCA,-11.346005,-75.568521,667,2724
JUNIN,CHUPACA,TRES DE DICIEMBRE,TRES DE DICIEMBRE,-12.109632,-75.245934,806,2665
JUNIN,HUANCAYO,VIQUES,VIQUES,-12.159598,-75.231968,666,2589
JUNIN,SATIPO,MAZAMARI,SAN CRISTOBAL,-11.334819,-74.523328,327,1816
JUNIN,HUANCAYO,HUACRAPUQUIO,HUACRAPUQUIO,-12.171193,-75.220714,434,1297
JUNIN,HUANCAYO,EL TAMBO,CULLPA BAJA,-12.021506,-75.194756,220,897
JUNIN,SATIPO,COVIRIALI,RICARDO PALMA,-11.270893,-74.636682,169,820
JUNIN,SATIPO,MAZAMARI,ARTURO DURAN PANES Y PASTOR,-11.339273,-74.52553,150,790
JUNIN,CHUPACA,CHUPACA,LA VICTORIA,-12.075924,-75.276081,270,780
JUNIN,CHANCHAMAYO,SAN RAMON,EL NARANJAL,-11.144462,-75.402402,219,682
JUNIN,CHUPACA,SAN JUAN DE ISCOS,ISCOS,-12.098209,-75.292823,202,653
JUNIN,TARMA,TARMA,SACSAMARCA,-11.4112,-75.706468,157,571
JUNIN,TARMA,ACOBAMBA,MURUHUAY,-11.347622,-75.653033,190,571
JUNIN,TARMA,ACOBAMBA,VILCABAMBA,-11.363078,-75.630869,148,530
JUNIN,TARMA,TAPO,YURACMAYO,-11.470028,-75.526587,127,468
JUNIN,JAUJA,POMACANCHA,CASA BLANCA (SANTA ROSA DE TAJANA),-11.664752,-75.643008,108,467
JUNIN,CONCEPCION,ANDAMARCA,ANDAMARCA,-11.728332,-74.801755,116,436
JUNIN,CHUPACA,CHONGOS BAJO,PUMPUNYA,-12.154118,-75.262903,136,436
JUNIN,SATIPO,MAZAMARI,CIUDAD SATELITE (QUERUBINI),-11.34633,-74.528546,118,424
JUNIN,TARMA,TARMA,HUINCO,-11.418921,-75.708219,106,399
JUNIN,TARMA,TAPO,HUARIPAMPA,-11.433467,-75.53154,85,341
JUNIN,TARMA,ACOBAMBA,TUPIN,-11.365747,-75.685251,106,330
JUNIN,SATIPO,COVIRIALI,COVIRIALI,-11.291297,-74.6274,84,312
JUNIN,HUANCAYO,CHONGOS ALTO,PUENTE MELLIZO,-12.516217,-75.512272,0,290
JUNIN,CHANCHAMAYO,SAN RAMON,CHALLHUAPUQUIO,-11.14974,-75.408327,81,288
JUNIN,CHUPACA,SAN JUAN DE ISCOS,PATARCOCHA,-12.10826,-75.294565,94,280
JUNIN,TARMA,TAPO,YAROCA,-11.373232,-75.544155,84,277
JUNIN,HUANCAYO,CHUPURO,CHONTA,-12.15565,-75.255553,81,267
JUNIN,TARMA,PALCA,CHIPOCAYO,-11.351907,-75.59737,74,267
JUNIN,CHANCHAMAYO,CHANCHAMAYO,PAMPA MICHI (PAMPAMICHI),-10.946478,-75.253285,62,259
JUNIN,CHUPACA,AHUAC,AMARU CANCHA,-12.06756,-75.31204,59,213
JUNIN,TARMA,PALCA,LLAPSACACA,-11.347865,-75.587525,56,195
JUNIN,TARMA,TAPO,QUETA,-11.435162,-75.583402,51,164
JUNIN,TARMA,PALCA,SAN LUIS,-11.346198,-75.584933,47,147
JUNIN,CHANCHAMAYO,CHANCHAMAYO,PUENTE KIMIRI,-11.032675,-75.317112,43,143
JUNIN,CHANCHAMAYO,PICHANAQUI,SAN ANTONIO DE ZUTZIKI,-10.883373,-74.910112,39,142
JUNIN,TARMA,TARMA,CURIS,-11.419742,-75.674164,48,137
JUNIN,CHUPACA,AHUAC,MATAPUQUIO,-12.084473,-75.328033,31,114
JUNIN,CHANCHAMAYO,SAN RAMON,SAN JOSE DE UTCUYACU,-11.186507,-75.46419,34,109
JUNIN,TARMA,ACOBAMBA,SAN JOSE,-11.35639,-75.602282,32,109
JUNIN,TARMA,HUASAHUASI,MIRAFLORES,-11.263017,-75.644252,32,109
JUNIN,TARMA,PALCA,SANTA FE,-11.35242,-75.602777,37,107
JUNIN,JUNIN,ULCUMAYO,CHICHIS,-10.980885,-75.775378,31,103
JUNIN,TARMA,PALCAMAYO,CALCA,-11.31026,-75.715503,34,101
JUNIN,CHANCHAMAYO,CHANCHAMAYO,NIJANDARIS,-11.003139,-75.315153,24,97
JUNIN,CHUPACA,CHONGOS BAJO,MANTARO,-12.1386,-75.255728,28,90
JUNIN,CHUPACA,SAN JUAN DE ISCOS,CHAUPIMARCA,-12.103128,-75.296305,25,89
JUNIN,CHUPACA,CHONGOS BAJO,TARACAYO,-12.154497,-75.259257,30,86
JUNIN,TARMA,ACOBAMBA,ROSAS PUQUIO,-11.368298,-75.633023,22,82
JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,PUENTE PAUCARTAMBO,-10.83847,-75.291493,26,71
JUNIN,TARMA,HUASAHUASI,VILLATAO,-11.265643,-75.65801,19,57
JUNIN,TARMA,HUASAHUASI,HUANCHAN CHICO,-11.269367,-75.648048,21,50
JUNIN,JUNIN,ULCUMAYO,TAMBOS,-10.983145,-75.764808,20,47
JUNIN,TARMA,PALCAMAYO,MOLINO,-11.313608,-75.711408,16,45
JUNIN,TARMA,PALCA,SANTO DOMINGO DE PALCA,-11.344843,-75.579665,14,41
JUNIN,TARMA,HUASAHUASI,GAGAPATA,-11.267259,-75.643604,13,39
JUNIN,CHANCHAMAYO,CHANCHAMAYO,LA RUMILDA (LA ROMILDA),-11.003318,-75.333014,18,38
JUNIN,TARMA,HUASAHUASI,MARAYPATA,-11.263398,-75.634257,18,37
JUNIN,CHANCHAMAYO,CHANCHAMAYO,BELLA VISTA,-11.031575,-75.325696,8,26
JUNIN,CHANCHAMAYO,PERENE,10-oct,-10.909362,-74.889961,9,26
JUNIN,TARMA,PALCAMAYO,CHICHIMACO,-11.309208,-75.711933,14,26
JUNIN,HUANCAYO,SAPALLANGA,SAN PABLO,-12.157362,-75.16801,10,25
JUNIN,HUANCAYO,CHILCA,PICH GANA HUACCTA,-12.072612,-75.185308,4,24
JUNIN,TARMA,HUASAHUASI,YAWAR COCHA,-11.268263,-75.636162,7,20
JUNIN,HUANCAYO,HUANCAN,NUEVA CASTILLA,-12.110992,-75.199146,6,19
JUNIN,CHANCHAMAYO,SAN RAMON,ALTO HUARANGO,-11.145035,-75.40369,6,17
JUNIN,TARMA,PALCAMAYO,TINGO,-11.257217,-75.811103,5,15
JUNIN,CHANCHAMAYO,SAN RAMON,ALTO TIGRILLO,-11.127147,-75.407475,6,13
JUNIN,TARMA,TARMA,CAPIA,-11.418777,-75.668315,3,11
JUNIN,TARMA,PALCAMAYO,MUYO,-11.314493,-75.71469,3,11
JUNIN,CHUPACA,CHONGOS BAJO,PACHACUTEC,-12.1498,-75.258962,3,7
JUNIN,CHANCHAMAYO,PERENE,IPANEMA,-10.903584,-74.895934,3,6
JUNIN,SATIPO,COVIRIALI,GETSEMANI,-11.291477,-74.62218,1,6
JUNIN,CHUPACA,CHONGOS BAJO,HUARITANGA,-12.16358,-75.27072,1,5
JUNIN,HUANCAYO,CHONGOS ALTO,CHICURUYO,-12.445016,-75.479859,1,2
JUNIN,HUANCAYO,CHONGOS ALTO,WICHICOCHA,-12.529106,-75.51692,1,2
JUNIN,TARMA,TARMA,SAN JUAN CRUZ,-11.423926,-75.689094,1,1
JUNIN,HUANCAYO,HUACRAPUQUIO,LA FLORIDA,-12.153515,-75.217508,0,0
JUNIN,TARMA,TAPO,AMAPOLA,-11.421045,-75.525555,0,0
LA LIBERTAD,TRUJILLO,TRUJILLO,TRUJILLO,-8.100119,-79.030538,74848,314808
LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,BUENOS AIRES,-8.136426,-79.043337,16369,68506
LA LIBERTAD,CHEPEN,CHEPEN,CHEPEN,-7.227637,-79.429461,9733,37466
LA LIBERTAD,TRUJILLO,LAREDO,LAREDO,-8.089652,-78.960168,5739,23828
LA LIBERTAD,PACASMAYO,GUADALUPE,GUADALUPE,-7.243731,-79.470382,6122,21857
LA LIBERTAD,TRUJILLO,MOCHE,MOCHE,-8.171295,-79.009177,4618,20549
LA LIBERTAD,ASCOPE,CASA GRANDE,CASA GRANDE,-7.745221,-79.18801,4659,19097
LA LIBERTAD,ASCOPE,CASA GRANDE,ROMA,-7.765286,-79.147587,1714,6388
LA LIBERTAD,ASCOPE,ASCOPE,ASCOPE,-7.713504,-79.107279,1631,6000
LA LIBERTAD,ASCOPE,CHICAMA,CHICAMA,-7.842546,-79.144042,1444,5692
LA LIBERTAD,ASCOPE,RAZURI,PUERTO DE MALABRIGO,-7.702151,-79.437688,1374,4831
LA LIBERTAD,ASCOPE,CHICAMA,SAUSAL,-7.73404,-79.004458,1119,4196
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,PUEBLO NUEVO,-7.182573,-79.520112,1157,4014
LA LIBERTAD,ASCOPE,CHICAMA,CHICLIN,-7.835673,-79.160487,1004,3934
LA LIBERTAD,CHEPEN,PACANGA,PACANGA,-7.171519,-79.485523,1103,3593
LA LIBERTAD,SANTIAGO DE CHUCO,CACHICADAN,CACHICADAN,-8.094422,-78.148949,651,2525
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,SANTA ROSA,-7.162801,-79.552841,754,2523
LA LIBERTAD,CHEPEN,PACANGA,SAN JOSE DE MORO (MORO),-7.179361,-79.439028,692,2349
LA LIBERTAD,PACASMAYO,JEQUETEPEQUE,JEQUETEPEQUE,-7.337551,-79.563109,666,2313
LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,CHIQUITOY,-7.926577,-79.2072,672,2199
LA LIBERTAD,TRUJILLO,LAREDO,SAN CARLOS,-8.071235,-78.950741,542,2128
LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,SANTIAGO DE CAO,-7.957643,-79.243685,563,2090
LA LIBERTAD,SANTIAGO DE CHUCO,ANGASMARCA,ANGASMARCA,-8.132729,-78.055877,429,1816
LA LIBERTAD,TRUJILLO,LAREDO,BELLO HORIZONTE,-8.058874,-78.859103,372,1443
LA LIBERTAD,PATAZ,PATAZ,VIJUS,-7.719506,-77.663499,273,1369
LA LIBERTAD,ASCOPE,MAGDALENA DE CAO,MAGDALENA DE CAO,-7.876393,-79.295971,317,1333
LA LIBERTAD,CHEPEN,PACANGA,LOS PARQUES,-7.191399,-79.506482,368,1262
LA LIBERTAD,CHEPEN,CHEPEN,TALAMBO,-7.242142,-79.400154,355,1185
LA LIBERTAD,ASCOPE,CHOCOPE,SINTUCO,-7.81101,-79.19974,277,1174
LA LIBERTAD,JULCAN,CARABAMBA,CARABAMBA,-8.11249,-78.607434,366,1104
LA LIBERTAD,ASCOPE,CASA GRANDE,MOCAN,-7.656019,-79.24162,258,1035
LA LIBERTAD,CHEPEN,CHEPEN,PUENTE MAYTA,-7.302717,-79.397127,342,1034
LA LIBERTAD,BOLIVAR,LONGOTEA,SAN VICENTE DE PAUL,-6.993834,-77.935712,291,954
LA LIBERTAD,PACASMAYO,GUADALUPE,MARISCAL CASTILLA,-7.299114,-79.40718,275,920
LA LIBERTAD,CHEPEN,CHEPEN,EL SALVADOR,-7.182881,-79.413642,270,916
LA LIBERTAD,PACASMAYO,GUADALUPE,SEMAN,-7.218262,-79.468938,238,908
LA LIBERTAD,CHEPEN,CHEPEN,HUABAL,-7.291638,-79.322888,259,845
LA LIBERTAD,PATAZ,PATAZ,CHAGUAL,-7.831945,-77.634832,66,831
LA LIBERTAD,TRUJILLO,POROTO,POROTO,-8.011354,-78.76788,205,796
LA LIBERTAD,ASCOPE,RAZURI,MACABI ALTO,-7.716485,-79.36884,196,778
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,SANTA CATALINA,-7.219834,-79.515841,206,716
LA LIBERTAD,TRUJILLO,MOCHE,JUSHAPE,-8.144661,-78.999422,170,713
LA LIBERTAD,TRUJILLO,LAREDO,BARRAZA,-8.11089,-78.971282,151,677
LA LIBERTAD,TRUJILLO,LAREDO,PAMPAS DE SAN JUAN,-8.130385,-78.940078,171,657
LA LIBERTAD,PACASMAYO,GUADALUPE,CALERA,-7.275535,-79.454782,180,644
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,NUEVO HORIZONTE-BUENOS AIRES,-7.14555,-79.59483,177,633
LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,EL HORNITO,-7.417847,-79.526647,164,626
LA LIBERTAD,VIRU,VIRU,EL NIÑO,-8.379646,-78.679172,179,621
LA LIBERTAD,SANTIAGO DE CHUCO,SANTA CRUZ DE CHUCA,SANTA CRUZ DE CHUCA,-8.120269,-78.142294,122,587
LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,PALLAR BAJO,-7.791768,-77.90423,152,575
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,ALTO SAN ILDEFONSO,-7.144297,-79.584536,152,530
LA LIBERTAD,TRUJILLO,SIMBAL,PEDREGAL,-8.008352,-78.827417,123,490
LA LIBERTAD,GRAN CHIMU,CASCAS,JOLLUCO ALTO,-7.548567,-78.72202,154,488
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,EL MILAGRO-MOLINO,-7.203187,-79.518104,129,483
LA LIBERTAD,CHEPEN,CHEPEN,MARISCAL LA MAR,-7.267248,-79.408079,150,471
LA LIBERTAD,SANTIAGO DE CHUCO,MOLLEBAMBA,MOLLEBAMBA,-8.170952,-77.97394,127,470
LA LIBERTAD,TRUJILLO,MOCHE,SUN (SUNA),-8.147667,-79.003722,104,453
LA LIBERTAD,OTUZCO,SALPO,PLATANAR,-8.005061,-78.692315,111,449
LA LIBERTAD,CHEPEN,CHEPEN,CHEPEN ALTO,-7.246801,-79.412352,116,386
LA LIBERTAD,PACASMAYO,GUADALUPE,CHAFAN GRANDE,-7.309211,-79.390894,109,384
LA LIBERTAD,TRUJILLO,MOCHE,LAS TORRES DE SAN BORJA,-8.170042,-79.023572,96,375
LA LIBERTAD,GRAN CHIMU,MARMOT,HUANCAY,-7.60534,-78.689093,111,373
LA LIBERTAD,SANTIAGO DE CHUCO,ANGASMARCA,COLPA SECA,-8.174277,-78.072495,107,369
LA LIBERTAD,GRAN CHIMU,MARMOT,CERRO NEGRO,-7.59756,-78.692102,57,359
LA LIBERTAD,CHEPEN,PACANGA,NUEVA JERUSALEN,-7.111672,-79.472188,103,358
LA LIBERTAD,CHEPEN,PACANGA,EL ALGARROBAL,-7.176365,-79.415703,95,357
LA LIBERTAD,CHEPEN,PACANGA,PRIMERO DE MAYO,-7.114508,-79.493195,56,343
LA LIBERTAD,CHEPEN,PACANGA,HUACA BLANCA BAJA,-7.159273,-79.382442,106,333
LA LIBERTAD,TRUJILLO,POROTO,CON CON,-8.008325,-78.738472,84,331
LA LIBERTAD,TRUJILLO,LAREDO,CHACARILLA BARRAZA,-8.109877,-78.984645,72,324
LA LIBERTAD,TRUJILLO,LAREDO,QUIRIHUAC ALTO (QUIRIHUAC NUEVO),-8.065833,-78.86135,98,316
LA LIBERTAD,CHEPEN,CHEPEN,LA MORANA,-7.264408,-79.397457,106,312
